Patient_ID,First_Name,Last_Name,SSN,Age,Gender,Blood_Type,Admission_Type,Diagnosis,Systolic_BP,Diastolic_BP,Heart_Rate,Glucose_Level,BMI,Readmission_Risk
PID-1035,Allison,Obrien,217-70-3296,84,Male,A+,Urgent,Hypertension,108,79,91,145.73,20.6,Moderate
PID-1036,Jennifer,Ross,688-84-6119,50,Male,A-,Urgent,Pneumonia,129,98,77,134.46,34.3,Low
PID-1037,Samuel,Holmes,124-32-3682,67,Male,A+,Elective,Pneumonia,112,90,89,147.79,33.5,Low
PID-1038,Caleb,Smith,568-30-9642,24,Male,O-,Emergency,Hypertension,105,85,107,160.92,23.7,Low
PID-1039,Jeffrey,Jones,647-08-3751,65,Female,O-,Elective,Diabetes Type 2,101,64,96,196.17,37.5,Low
PID-1040,Carlos,Johnson,339-10-8424,26,Male,O+,Elective,Asthma,108,107,75,138.53,20.3,Low
PID-1041,John,Caldwell,220-70-2168,89,Female,A+,Urgent,Asthma,125,97,99,156.51,31.5,Moderate
PID-1042,Jennifer,Khan,591-61-3982,42,Male,O+,Urgent,Pneumonia,107,105,77,33.62,39.9,Low
PID-1043,Kristen,Aguirre,195-13-1589,50,Male,B-,Emergency,Diabetes Type 2,157,92,73,95.9,25.5,Low
PID-1044,Donna,Gomez,421-60-0888,37,Male,B+,Elective,Heart Failure,97,66,62,144.66,20.5,Moderate
PID-1045,Emily,Joyce,101-08-6597,39,Male,A-,Emergency,Heart Failure,119,97,97,176.9,27.0,Moderate
PID-1046,Jessica,Mcbride,112-32-3140,71,Male,B-,Emergency,Pneumonia,97,86,86,120.39,30.9,Low
PID-1047,James,West,433-24-4564,81,Female,O+,Emergency,Diabetes Type 2,158,119,107,163.61,24.5,Moderate
PID-1048,Steven,Baxter,078-57-9017,52,Male,AB+,Elective,Heart Failure,153,108,76,119.65,24.5,Moderate
PID-1049,Corey,Pearson,554-02-1529,23,Female,B-,Elective,Diabetes Type 2,126,83,88,125.72,27.7,Low
PID-1050,Sara,Allison,171-53-7957,70,Male,A+,Urgent,COPD,149,92,80,101.72,28.9,Moderate
PID-1051,Timothy,Hancock,061-22-6210,35,Male,O-,Urgent,COPD,114,101,90,95.59,36.7,Moderate
PID-1052,Aaron,Myers,803-59-4674,84,Male,A-,Emergency,Pneumonia,135,83,109,121.75,37.4,Moderate
PID-1053,Rodney,Bernard,803-72-7974,34,Male,B-,Elective,Asthma,122,68,102,85.71,33.7,Low
PID-1054,Eric,Phillips,060-75-8884,56,Male,A+,Urgent,COPD,131,114,85,129.13,38.1,Moderate
PID-1055,Bruce,Edwards,052-75-7812,24,Female,B-,Urgent,Hypertension,146,95,104,127.72,22.7,Low
PID-1056,Wesley,Farrell,162-08-8321,25,Male,O+,Emergency,Hypertension,105,73,71,73.18,32.9,Low
PID-1057,Christopher,Lopez,610-09-3854,68,Female,AB-,Emergency,Heart Failure,114,117,81,180.01,,Moderate
PID-1058,Richard,David,584-32-9486,75,Male,B-,Urgent,Pneumonia,147,81,108,93.21,29.7,Low
PID-1059,Brooke,Harvey,430-85-9563,70,Female,B-,Elective,Pneumonia,149,103,103,109.96,31.9,Low
PID-1060,Annette,Stewart,268-27-5148,85,Female,AB+,Urgent,COPD,95,104,91,191.67,32.2,High
PID-1061,John,Foster,688-83-4916,69,Male,AB+,Urgent,Asthma,105,72,109,175.3,29.6,Low
PID-1062,Stephen,Hickman,075-02-7509,47,Male,A-,Emergency,Hypertension,108,76,78,96.22,19.0,Low
PID-1063,Christine,Hart,103-10-8809,79,Male,AB+,Urgent,Hypertension,112,68,71,116.56,27.3,Moderate
PID-1064,Jason,Baker,358-09-4003,75,Female,AB+,Urgent,Diabetes Type 2,90,106,93,110.42,22.4,Low
PID-1065,Mike,Moore,854-70-4957,18,Male,O+,Elective,Pneumonia,105,98,64,113.86,,Low
PID-1066,Cheryl,Archer,670-68-0129,39,Female,AB+,Emergency,Diabetes Type 2,156,71,85,158.01,18.8,Low
PID-1067,Elizabeth,Spencer,680-14-2201,86,Female,A+,Emergency,COPD,136,108,89,98.77,36.9,High
PID-1068,Joseph,Preston,761-71-2547,86,Male,A+,Elective,COPD,165,75,85,140.97,25.9,High
PID-1069,Joseph,Jacobs,735-44-3336,40,Male,B+,Emergency,Heart Failure,99,113,64,138.0,37.6,Moderate
PID-1070,Grace,Farrell,518-63-4115,69,Male,B-,Urgent,Hypertension,99,117,78,154.89,32.7,Low
PID-1071,Rebecca,Mathis,095-82-6940,21,Male,O+,Urgent,Hypertension,105,83,75,120.31,32.3,Low
PID-1072,Maria,Williams,342-99-2144,49,Male,B+,Elective,Diabetes Type 2,173,83,71,167.58,,Low
PID-1073,Dana,Green,760-57-9039,50,Female,B-,Elective,Heart Failure,150,110,102,82.87,38.7,Moderate
PID-1074,Janice,Hoffman,115-10-2443,84,Male,A+,Elective,Heart Failure,154,92,99,105.41,25.4,High
PID-1075,Amy,Davenport,597-71-2427,43,Female,AB+,Emergency,Hypertension,163,85,93,126.23,24.1,Low
PID-1076,Russell,Williams,374-06-5863,24,Male,AB-,Elective,Heart Failure,157,117,109,146.99,34.3,Low
PID-1077,Jason,Wright,106-46-9174,38,Female,O+,Urgent,Hypertension,125,69,96,129.22,34.6,Low
PID-1078,Nicole,Russell,636-96-2533,81,Female,A-,Elective,Pneumonia,138,94,107,108.97,31.0,Moderate
PID-1079,Sara,Young,167-23-6756,40,Female,A-,Urgent,Pneumonia,151,91,96,103.57,23.6,Low
PID-1080,Angel,Doyle,341-53-4066,72,Female,A-,Elective,Heart Failure,102,82,84,101.19,30.0,Moderate
PID-1081,Joseph,Cobb,111-49-0635,30,Male,A+,Urgent,Hypertension,148,78,108,79.74,19.6,Low
PID-1082,Michele,Walker,837-59-5729,78,Male,O+,Emergency,Hypertension,108,71,68,129.72,38.9,Moderate
PID-1083,Kevin,Pope,234-29-0388,33,Female,AB-,Urgent,COPD,158,94,71,116.1,25.6,Low
PID-1084,Donna,Ross,286-09-4574,70,Female,AB+,Urgent,COPD,112,75,98,119.63,19.7,Moderate
PID-1085,Michael,Hicks,696-69-5426,22,Female,AB+,Urgent,Asthma,124,82,88,93.08,26.0,Low
PID-1086,Sheila,Wilson,268-23-9513,35,Female,O+,Urgent,Asthma,165,68,69,122.7,36.5,Low
PID-1087,Sydney,Baker,112-77-7120,63,Male,AB+,Elective,COPD,102,99,101,122.48,27.0,Moderate
PID-1088,Michael,Hartman,447-78-8380,44,Male,AB+,Emergency,Hypertension,155,64,88,76.56,36.0,Low
PID-1089,Darrell,Lam,195-33-0728,88,Female,O-,Elective,Heart Failure,178,104,63,77.78,26.0,High
PID-1090,Jeanne,Smith,826-69-3229,48,Female,B+,Urgent,Asthma,108,103,98,145.73,20.9,Low
PID-1091,Michael,Jones,681-43-5144,84,Female,B-,Urgent,Pneumonia,134,72,109,115.2,28.6,Moderate
PID-1092,Elizabeth,Martinez,308-65-5068,75,Male,A+,Emergency,Diabetes Type 2,109,87,67,129.68,34.5,Low
PID-1093,Elizabeth,Nguyen,714-38-9084,79,Female,A-,Elective,COPD,152,119,108,95.18,20.3,High
PID-1094,David,Fisher,389-87-2852,50,Male,O+,Elective,Asthma,127,112,65,63.1,19.4,Low
PID-1095,Christina,Turner,562-01-4979,53,Male,A+,Emergency,Asthma,108,79,77,137.97,22.1,Low
PID-1096,Justin,Jordan,594-78-5280,66,Male,O-,Emergency,Diabetes Type 2,103,74,90,163.1,38.2,Low
PID-1097,Steven,Ramos,219-66-7753,33,Male,B+,Elective,Heart Failure,161,97,71,98.95,20.8,Low
PID-1098,Laura,Moyer,754-22-1390,25,Female,O+,Urgent,Heart Failure,125,85,67,150.98,20.2,Low
PID-1099,Justin,Beck,635-43-1531,58,Male,O-,Elective,Asthma,153,86,76,65.7,24.5,Low
PID-1100,Loretta,Potter,689-40-3681,46,Male,AB+,Urgent,Asthma,102,105,94,142.26,27.5,Low
PID-1101,Lindsay,Hernandez,048-32-7785,73,Male,O-,Emergency,Hypertension,119,109,104,164.3,22.0,Low
PID-1102,Cheryl,Mack,467-54-9432,50,Male,AB-,Elective,Hypertension,154,77,91,101.53,36.3,Low
PID-1103,James,Horton,507-52-3998,66,Male,B+,Emergency,Diabetes Type 2,166,92,93,163.09,19.3,Low
PID-1104,Dylan,Watts,769-99-1747,18,Male,B-,Emergency,Asthma,110,107,65,130.27,34.6,Low
PID-1105,Kimberly,Robinson,824-90-8487,20,Female,O-,Elective,COPD,142,82,96,177.35,34.1,Low
PID-1106,Steven,Grant,869-16-7479,34,Female,A+,Urgent,Heart Failure,174,73,68,78.94,32.9,Moderate
PID-1107,Dennis,Marshall,544-72-9756,49,Male,AB+,Elective,Hypertension,123,87,90,136.06,20.9,Low
PID-1108,Logan,Fischer,454-79-8271,43,Female,B-,Elective,COPD,123,113,62,155.38,30.4,Moderate
PID-1109,Ronald,Meadows,457-21-7778,22,Female,A+,Elective,Heart Failure,146,76,107,122.03,28.8,Low
PID-1110,Shannon,Walton,861-82-4544,40,Female,B+,Elective,Asthma,168,96,80,154.49,37.9,Low
PID-1111,Katie,Boyd,642-31-4500,81,Male,A+,Emergency,Heart Failure,127,109,93,135.76,32.2,High
PID-1112,Scott,Reeves,241-35-5503,68,Male,B+,Emergency,Heart Failure,152,93,97,145.98,24.9,Moderate
PID-1113,Luis,Fernandez,142-20-3789,68,Female,O-,Elective,Diabetes Type 2,170,64,88,116.89,21.7,Low
PID-1114,Patrick,Hernandez,220-09-6798,73,Female,O+,Elective,Hypertension,106,69,76,111.56,39.6,Low
PID-1115,Rick,Daniels,426-08-3389,70,Female,A+,Elective,Pneumonia,155,72,102,70.06,31.0,Low
PID-1116,Marissa,Price,789-75-0321,40,Male,A+,Emergency,Asthma,144,75,90,168.35,22.4,Low
PID-1117,Melissa,Cannon,390-62-0097,21,Male,B+,Emergency,Pneumonia,145,84,62,95.61,37.3,Low
PID-1118,Sherri,Evans,400-54-8819,44,Male,B-,Elective,COPD,121,109,78,104.9,26.0,Moderate
PID-1119,Julie,Payne,618-29-8000,39,Female,A-,Emergency,Diabetes Type 2,110,65,60,151.36,30.0,Low
PID-1120,Jeffrey,Graham,030-50-5508,29,Male,A+,Elective,COPD,179,105,93,108.76,25.4,Low
PID-1121,Elizabeth,Yates,742-22-7658,43,Female,B-,Emergency,Heart Failure,136,116,81,95.44,20.3,Moderate
PID-1122,Samantha,Hooper,547-04-6456,80,Male,AB+,Urgent,Pneumonia,137,76,85,125.34,30.0,Moderate
PID-1123,Brittany,Alvarado,086-83-7023,73,Male,A+,Elective,COPD,175,73,85,121.07,34.8,Moderate
PID-1124,Derek,Murray,052-34-6212,19,Female,AB-,Emergency,Pneumonia,115,73,66,146.01,34.6,Low
PID-1125,Mark,Gibson,346-98-6212,35,Female,O+,Elective,Pneumonia,127,94,74,134.13,20.8,Low
PID-1126,Joshua,Bean,432-33-1342,45,Female,B+,Elective,Asthma,163,98,76,100.6,21.1,Low
PID-1127,Thomas,Curry,054-45-3674,34,Female,O-,Elective,COPD,102,79,84,87.55,33.1,Moderate
PID-1128,Debra,Harrington,668-06-0509,84,Female,B-,Emergency,Hypertension,107,106,95,191.23,34.5,Moderate
PID-1129,Stefanie,Gonzalez,021-80-2497,59,Female,O-,Urgent,Diabetes Type 2,130,96,65,150.44,37.8,Low
PID-1130,John,Wells,118-73-3572,81,Female,A+,Elective,Hypertension,148,115,104,134.9,18.7,Moderate
PID-1131,Steven,Scott,378-22-9927,38,Male,B-,Elective,Heart Failure,159,65,107,114.17,22.0,Moderate
PID-1132,Catherine,Adkins,118-21-5097,79,Female,AB+,Urgent,Hypertension,151,89,90,125.22,,Moderate
PID-1133,Daniel,Johnson,320-74-6150,21,Male,B-,Urgent,Pneumonia,168,65,108,147.24,29.1,Low
PID-1134,Randy,Espinoza,078-76-3979,68,Male,O-,Urgent,Asthma,151,116,61,181.3,24.5,Low
PID-1135,Curtis,Barton,871-88-9838,61,Female,A-,Elective,Pneumonia,94,65,85,168.59,25.5,Low
PID-1136,Linda,Hogan,580-06-5689,36,Male,AB-,Elective,Hypertension,173,92,79,106.24,31.6,Low
PID-1137,Amanda,Stanley,071-65-5591,81,Female,AB-,Elective,Heart Failure,127,96,70,110.8,38.5,High
PID-1138,Alexander,Fisher,502-14-7103,20,Female,AB+,Emergency,Hypertension,122,65,109,182.01,30.3,Low
PID-1139,Susan,Reid,849-59-2507,19,Male,A-,Urgent,Hypertension,102,99,61,61.65,20.4,Low
PID-1140,Ryan,Gross,667-35-8818,80,Male,B-,Urgent,Diabetes Type 2,162,76,68,98.3,27.4,Moderate
PID-1141,Kim,Marshall,846-94-9708,66,Female,B-,Elective,Pneumonia,158,119,103,193.02,27.3,Low
PID-1142,Joseph,Christian,851-12-4570,26,Male,A+,Urgent,Hypertension,123,71,94,122.6,30.9,Low
PID-1143,Nicole,Sanchez,476-73-6210,81,Female,A+,Urgent,Pneumonia,161,70,100,115.33,34.6,Moderate
PID-1144,Matthew,Snyder,333-24-7989,77,Male,O-,Emergency,Asthma,119,94,80,102.79,32.1,Moderate
PID-1145,Jason,Salinas,349-36-9768,79,Female,O-,Elective,Heart Failure,93,84,104,99.58,31.1,High
PID-1146,Jacqueline,Hill,011-67-3131,35,Male,O-,Emergency,Hypertension,129,67,98,136.58,31.9,Low
PID-1147,Christopher,Cortez,501-72-3938,40,Female,A-,Urgent,Heart Failure,152,74,92,128.87,23.5,Moderate
PID-1148,Hannah,Brewer,503-58-0283,83,Male,B+,Urgent,Diabetes Type 2,167,112,99,127.26,27.8,Moderate
PID-1149,Christopher,Walker,709-32-5017,84,Male,A-,Urgent,Diabetes Type 2,96,110,67,74.09,33.4,Moderate
PID-1150,Elizabeth,Wood,567-68-5633,32,Male,O+,Elective,COPD,118,92,89,125.46,21.8,Low
PID-1151,Ronald,Reese,339-46-7435,44,Female,O+,Elective,COPD,144,92,63,127.45,30.8,Moderate
PID-1152,Joseph,King,124-93-3156,27,Male,A-,Emergency,COPD,94,118,69,151.13,20.9,Low
PID-1153,Leslie,Newton,781-89-3034,69,Female,A-,Emergency,Asthma,145,74,88,104.7,30.1,Low
PID-1154,James,Rodgers,284-93-9660,46,Male,A+,Elective,Diabetes Type 2,136,63,71,159.91,33.9,Low
PID-1155,Tiffany,Warren,290-13-3181,44,Female,A+,Emergency,Hypertension,158,79,70,179.98,39.1,Low
PID-1156,Kenneth,Ward,310-02-8752,55,Female,O-,Emergency,Asthma,95,67,82,139.63,21.8,Low
PID-1157,David,Williams,056-71-4787,30,Female,B-,Elective,Asthma,151,77,84,118.33,24.0,Low
PID-1158,Heidi,Martinez,890-97-8043,77,Male,B+,Elective,Asthma,132,71,103,173.46,38.3,Moderate
PID-1159,Curtis,Smith,292-61-7844,89,Male,B+,Elective,Pneumonia,120,117,68,137.71,27.6,Moderate
PID-1160,Scott,Lopez,053-33-7828,46,Female,A-,Elective,Heart Failure,167,99,100,117.29,20.9,Moderate
PID-1161,Danny,Jones,504-10-9454,38,Female,O-,Elective,Hypertension,179,105,95,143.43,21.2,Low
PID-1162,Crystal,Brown,153-73-4979,74,Male,AB-,Urgent,Heart Failure,90,113,99,72.5,34.5,Moderate
PID-1163,Christopher,Wright,572-98-6819,69,Male,A+,Urgent,Diabetes Type 2,146,112,85,162.46,25.7,Low
PID-1164,Catherine,Gibbs,232-67-6233,80,Male,O-,Urgent,Diabetes Type 2,114,85,70,118.04,28.8,Moderate
PID-1165,Shannon,Ramos,881-76-7026,34,Female,O+,Urgent,Diabetes Type 2,132,118,103,144.22,38.1,Low
PID-1166,Kevin,Oliver,625-95-1626,71,Male,AB-,Elective,Heart Failure,113,84,66,151.16,24.5,Moderate
PID-1167,Stacey,Clark,217-34-1331,43,Male,AB-,Elective,Diabetes Type 2,117,109,80,99.05,29.6,Low
PID-1168,Eric,Thompson,077-21-0044,66,Female,O+,Urgent,Asthma,109,113,81,197.2,,Low
PID-1169,Ricky,Norris,482-38-0535,30,Male,AB+,Elective,Hypertension,176,110,78,121.78,26.0,Low
PID-1170,Jesse,Mann,720-59-1167,47,Female,A+,Urgent,COPD,118,108,104,152.58,31.1,Moderate
PID-1171,Grace,Bradshaw,807-81-9664,18,Female,A+,Emergency,Heart Failure,167,110,106,108.16,29.8,Low
PID-1172,Donna,Peck,436-15-8923,55,Female,O-,Emergency,Asthma,140,63,60,102.97,34.7,Low
PID-1173,Jeffrey,Hernandez,273-19-1170,27,Male,O-,Urgent,Hypertension,163,78,105,113.35,29.8,Low
PID-1174,Brian,Sparks,610-96-9326,72,Male,B-,Urgent,Asthma,121,109,66,117.32,23.3,Low
PID-1175,Samantha,Gonzales,480-89-4983,76,Male,O+,Emergency,COPD,161,113,106,120.9,30.7,High
PID-1176,Holly,Bender,513-70-8091,68,Male,A-,Urgent,Heart Failure,97,93,94,144.42,36.9,Moderate
PID-1177,Samuel,George,443-95-5281,33,Female,AB+,Urgent,Asthma,157,111,96,91.79,21.5,Low
PID-1178,Cassandra,Johnson,235-87-9425,31,Female,O-,Emergency,Heart Failure,144,107,77,129.78,27.6,Low
PID-1179,Brenda,Smith,784-87-4416,19,Male,B-,Urgent,Heart Failure,90,106,64,82.47,25.8,Low
PID-1180,Barbara,Hines,180-61-8503,19,Male,AB+,Elective,Pneumonia,156,82,71,105.73,35.1,Low
PID-1181,Denise,Moon,186-75-7142,26,Female,AB+,Urgent,Pneumonia,142,103,94,150.47,38.9,Low
PID-1182,Cynthia,Vasquez,094-61-5701,41,Female,O-,Urgent,Diabetes Type 2,170,69,89,149.15,35.7,Low
PID-1183,Ricky,Morris,108-21-5404,31,Female,O+,Elective,COPD,98,99,61,119.07,32.1,Low
PID-1184,Robert,Simpson,679-52-9013,39,Male,B-,Urgent,Asthma,93,85,88,103.81,18.9,Low
PID-1185,Benjamin,Miller,259-42-1900,35,Female,AB-,Urgent,Pneumonia,174,101,95,96.65,29.2,Low
PID-1186,Tara,Powell,527-01-8890,51,Female,B+,Elective,Heart Failure,106,96,84,174.33,20.8,Moderate
PID-1187,Steven,Brown,531-47-8168,44,Male,AB-,Emergency,COPD,146,90,65,119.37,34.2,Moderate
PID-1188,Colleen,Wolf,209-35-8999,29,Female,O-,Emergency,Pneumonia,142,66,69,115.26,26.7,Low
PID-1189,David,Roberts,716-63-1990,63,Female,B+,Emergency,Asthma,153,61,102,144.2,22.5,Low
PID-1190,Anthony,Mccoy,819-31-2595,70,Female,O+,Urgent,Hypertension,125,110,85,144.73,34.0,Low
PID-1191,Lance,Smith,418-12-3682,71,Female,O+,Elective,Asthma,144,106,83,116.26,38.6,Low
PID-1192,Victoria,Durham,473-16-2523,86,Female,A+,Urgent,COPD,145,92,95,83.04,36.6,High
PID-1193,Tyrone,Moran,522-91-4480,79,Female,A-,Elective,Diabetes Type 2,162,85,61,124.36,20.8,Moderate
PID-1194,Robert,Olson,484-32-7484,57,Male,B+,Urgent,Heart Failure,106,60,84,143.04,28.4,Moderate
PID-1195,Andrea,Reyes,614-66-2237,52,Male,AB-,Emergency,Pneumonia,92,109,96,168.04,18.6,Low
PID-1196,Michelle,Hill,809-54-5569,68,Female,B+,Emergency,Heart Failure,101,78,96,80.42,30.2,Moderate
PID-1197,Sarah,Romero,841-01-4635,25,Male,B+,Emergency,Diabetes Type 2,110,76,82,113.21,34.1,Low
PID-1198,Jessica,Monroe,594-85-8023,87,Female,B-,Elective,COPD,161,84,77,74.2,39.7,High
PID-1199,Michelle,Griffin,496-45-5447,43,Male,O-,Urgent,Diabetes Type 2,136,91,69,118.26,31.1,Low
PID-1200,Andrea,Daniels,467-42-3091,34,Female,A+,Elective,Asthma,112,85,80,61.43,21.1,Low
PID-1201,Tina,Allen,393-30-6731,24,Male,O-,Elective,Pneumonia,98,110,107,111.62,21.0,Low
PID-1202,Bradley,Garner,723-49-6326,76,Female,O+,Urgent,Asthma,176,88,77,160.7,32.4,Moderate
PID-1203,Vanessa,Sparks,668-20-8116,31,Female,O+,Elective,Diabetes Type 2,120,83,94,38.63,30.6,Low
PID-1204,Tammie,Martinez,605-43-1645,62,Female,AB-,Urgent,COPD,92,96,102,157.67,19.9,Moderate
PID-1205,Morgan,Alexander,539-59-0252,32,Female,O+,Elective,Pneumonia,93,88,81,93.16,,Low
PID-1206,Jennifer,Ortiz,671-20-1226,42,Male,O-,Elective,COPD,102,77,92,128.01,23.5,Moderate
PID-1207,Terrance,Costa,347-80-6513,72,Male,AB-,Emergency,COPD,131,93,89,146.69,18.5,Moderate
PID-1208,Debra,Christian,873-87-8743,30,Female,B+,Urgent,Asthma,102,77,91,197.93,24.3,Low
PID-1209,Norman,Stewart,736-98-7995,27,Male,O-,Emergency,Hypertension,119,84,98,100.49,29.7,Low
PID-1210,Monique,Johnson,071-31-4709,82,Male,AB+,Elective,Pneumonia,138,62,104,79.67,24.9,Moderate
PID-1211,Wendy,Francis,445-13-1647,79,Male,B+,Urgent,Diabetes Type 2,126,84,107,92.44,18.9,Moderate
PID-1212,Scott,Benson,030-06-5315,32,Female,AB+,Emergency,COPD,138,116,83,100.54,31.2,Low
PID-1213,Laura,Carter,384-56-2386,56,Female,AB-,Emergency,Hypertension,145,105,83,144.06,28.5,Low
PID-1214,John,Jenkins,699-24-2786,42,Male,B-,Urgent,Diabetes Type 2,160,111,63,155.01,29.5,Low
PID-1215,Gregory,Lynch,392-80-3946,74,Female,AB-,Emergency,COPD,179,100,108,168.63,39.1,Moderate
PID-1216,Tyler,Aguilar,238-60-4162,23,Male,A-,Elective,Hypertension,94,64,106,122.9,31.3,Low
PID-1217,Steve,Estrada,824-60-4713,78,Female,O+,Urgent,COPD,124,109,77,75.0,33.5,High
PID-1218,Erica,Moore,453-45-9627,20,Male,B-,Elective,Asthma,121,94,97,161.35,,Low
PID-1219,Kevin,Hayden,707-33-7485,85,Female,B-,Urgent,COPD,103,96,93,140.51,28.3,High
PID-1220,Megan,Gonzalez,394-62-1748,73,Female,AB+,Urgent,Asthma,156,118,87,101.86,36.8,Low
PID-1221,John,Armstrong,589-38-4838,59,Male,A+,Elective,Pneumonia,98,74,99,119.07,38.5,Low
PID-1222,Andrew,Greer,406-36-0133,28,Male,B-,Urgent,Pneumonia,148,93,83,112.94,30.0,Low
PID-1223,Ashlee,Jennings,763-07-9936,54,Female,O+,Urgent,Hypertension,149,107,72,123.06,37.7,Low
PID-1224,Julie,Wall,294-30-9947,57,Male,A-,Elective,Heart Failure,134,91,88,124.54,32.7,Moderate
PID-1225,Laurie,Robinson,195-80-4107,57,Female,AB-,Emergency,Pneumonia,166,104,92,145.88,37.4,Low
PID-1226,Erica,Le,676-88-2241,36,Male,A-,Urgent,Hypertension,169,99,87,144.61,33.5,Low
PID-1227,Courtney,Berger,662-06-5062,59,Female,O+,Elective,Pneumonia,152,86,97,135.22,22.6,Low
PID-1228,Kristina,Johnson,374-94-2154,22,Male,A-,Urgent,Heart Failure,134,117,90,114.99,25.7,Low
PID-1229,Christopher,Phillips,766-54-2878,47,Male,AB-,Emergency,Pneumonia,128,90,77,124.4,36.1,Low
PID-1230,James,Buchanan,898-47-8698,29,Male,B-,Urgent,Pneumonia,128,61,91,112.55,30.5,Low
PID-1231,Warren,Nelson,169-33-7895,77,Male,B+,Urgent,Hypertension,153,83,104,102.15,,Moderate
PID-1232,Tammy,Phillips,892-44-1887,52,Male,AB+,Emergency,Diabetes Type 2,159,78,89,118.61,36.6,Low
